date,wealth,cumulative_consumption,MSFT,CSCO,JPM,WMT,PG,XOM,TLT
2026-02-20 08:00:00 PM ET,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-20 08:00:00 PM ET,99698.8907255281,101.10927447190744,0.1561252981210277,0.0504683869840591,0.0342422149199191,0.0622711667460887,0.1570930364535966,0.1749390615739166,0.364860835201392
2026-03-01 11:28:37 AM EST,101372.50127331453,204.39674191237435,0.155426249263845,0.0754764552630649,0.034242214904128,0.0622711667268659,0.1327840169633267,0.1749390621697799,0.3648608347089894
2026-03-15 09:09:33 AM EDT,98353.43459251028,294.5015622219085,0.1813663122267743,0.0754764567767476,0.0342422139966534,0.046388575318874,0.1054044506173701,0.1922611544229011,0.3648608366406792
2026-04-02 04:30:50 PM EDT,97592.07592652913,384.7324625426978,0.1769320670780073,0.1112962977041048,0.0342422140001433,0.0141244214874192,0.1054044505166578,0.1794892400422285,0.3785113091714387
2026-04-16 04:12:34 PM EDT,99318.99448915612,486.3552892002442,0.1769320670689593,0.1112962987629175,0.073563131807513,3.5599308030310715e-11,0.1054044503398058,0.1794892400694815,0.3533148119157234
2026-05-04 01:46:00 PM EDT,99786.76442245906,589.3067570799242,0.2158765671403209,0.1112962988049835,0.0346186310482437,7.742632234869023e-10,0.1054044494539215,0.179489240508168,0.3533148122700991
2026-05-16 01:24:46 PM EDT,102765.49754724852,694.5600470369662,0.2851652783272485,0.0795588709022592,0.0001935045770984,6.834154210281768e-10,0.1022782930442891,0.1794892406209583,0.3533148118447309
2026-06-01 09:08:52 AM EDT,105397.34978866352,801.9581263176983,0.3077789983256567,0.0795588711931519,0.002558817432298,8.687732667142785e-10,0.102278293859826,0.154510206132535,0.3533148121877589
2026-07-02 12:28:55 PM EDT,99182.60210493547,892.2872587646955,0.1829582838085232,0.0795588710691379,0.0025588177446653,0.0730855498261435,0.1378025501959162,0.1702105196309322,0.3538254077246814
2026-07-15 09:08:40 AM EDT,99486.4628810222,983.8473315565712,0.2597727658589808,0.0692177014555538,2.1750395086127275e-10,0.0730855482069341,0.1049125489996272,0.1563960731127222,0.3366153621486778
2026-08-01 09:09:17 AM EDT,102959.333219865,1058.0137263593451,0.1108178523201532,0.057522410841267,0.0238470970745406,0.0746334680667968,0.0914990123957672,0.1678857854045136,0.4737943738969611
2026-08-15 09:09:33 AM EDT,104515.43766353531,1132.8681432540493,0.09424919805267526,0.06298375136284413,0.02384709697160164,0.0746334743831341,0.0889712087352747,0.14410156408761832,0.5112137064068518
